timestamp,duration (s)
1668104962.1023495,0.00441084
1668108465.4331818,0.00432527
1668111256.5611556,0.00481084
1668114898.3113172,0.00434058
1668118426.829795,0.00434661
1668122151.2047858,0.0043507
1668125718.9982321,0.00433222
1668129208.6566026,0.00444696
1668132799.67981,0.00476995
1668136457.9629128,0.00434353
1668140261.2319314,0.00434755
1668143856.252467,0.00435662
1668147365.7924528,0.00435749
1668150854.9088619,0.00438655
1668154565.6410599,0.00437511
1668158143.0693176,0.00435808
1668161835.4084663,0.00443737
1668165234.528987,0.00432175
1668168801.369121,0.00443648
1668172416.23317,0.004350100000000001
1668176046.772877,0.00438201
1668179646.3331661,0.00441783
1668183305.4860756,0.00435511
1668186880.2088213,0.00433281
1668190423.8304255,0.00434631
1668287691.9941099,0.004352399999999999
1668291201.3617005,0.00431506
1668294859.3510814,0.00435284
1668298410.3721685,0.00434213
1668302131.3990607,0.00432346
1668305678.7405903,0.00431051
1668309215.7095294,0.00438425
1668312862.5507972,0.00442837
1668316488.4515314,0.00439042
1668320052.6011846,0.00438894
1668323685.8787699,0.00435861
1668327217.5682786,0.00436496
1668330865.9331062,0.00436483
1668334436.081133,0.00454486
1668338022.3416195,0.00439704
1668341645.2786198,0.0043324
1668345292.4818769,0.0043034
1668348839.069854,0.00432224
1668352530.8673284,0.0043119
1668356060.227298,0.00431795
1668359670.1060336,0.00436582
1668364527.493941,0.00576026
1668368130.4068048,0.00576027
1668371720.4630024,0.005760100000000001
1668375299.1414235,0.0057591000000000005
1668378905.385259,0.00575991
1668382574.1684544,0.00576015
1668386184.0292013,0.00575982
1668389714.3504248,0.00576049
1668393325.7425337,0.00575992
1668396899.4980688,0.00576052
1668400516.6246793,0.00576052
1668404095.462001,0.00576051
1668407729.1611958,0.00576057
1668411376.6773276,0.00576043
1668414924.1656127,0.00576072
1668418534.0753677,0.00576016
1668422139.5823345,0.00576034
1668425744.686745,0.005760800000000001
1668429302.461157,0.00576062
1668432916.3974473,0.00576055
1668436489.2934265,0.00576052
1668440086.891278,0.00576078
1668443696.5311394,0.00576053
1668447274.9840448,0.00576054
1668450964.2931054,0.00576067
1668454601.0649862,0.00576031
1668514415.3643687,0.00433572
1668518007.2899165,0.00433179
1668521744.0950668,0.00435874
1668525455.1247494,0.00435914
1668529103.0762165,0.00438854
1668532434.438874,0.00432088
1668536530.3894882,0.00434221
1668539724.1533349,0.00436266
1668543337.9385247,0.00466748
1668546941.2069929,0.00435607
1668550723.3888812,0.00462724
1668554281.6980686,0.00437243
1668557914.3256257,0.00430915
1668561391.3167253,0.00464426
1668564940.7185328,0.004453
1668568598.3557258,0.00436642
1668572012.3892465,0.00436197
1668575651.2204092,0.00437139
1668579317.712958,0.00433948
1668582856.6687026,0.00434229
1668586421.2624614,0.00437637
1668589954.2450304,0.00432449
1668593630.0447164,0.00473483
1668597151.105161,0.00440178
